,X_0,X_1,X_2,X_3,X_4,X_5,Y
0,0,6.209807326704755,2.5419007378956238,0.4687775698356135,9.851548039974492,0.4932677928226169,1002.2600644280236
1,1,9.427391184422508,7.473634861504925,0.7253282785093131,8.012153895015144,1.8513988194350655,1039.4471478605851
2,0,13.643492033713823,2.7527370567751763,0.5099676287403118,9.485686360376409,1.0154894498228688,1016.8971899539529
3,0,12.422287548168567,4.3153705688852275,1.4150998973071285,0.7559816979608351,0.5500212990077381,984.7447389800469
4,1,9.150651734194893,5.260839164831658,0.10367587015737187,0.2020921235697224,0.5922794155973742,1011.3281884333904
5,1,8.863357754753725,2.3580409648338954,0.09810942454119008,1.2642957466273446,-0.018361684224189823,1023.2017116009974
6,0,6.8746911395510715,6.452659673375694,0.8184565434794152,2.168323807531047,0.7878173462045593,1004.8629810282738
7,0,7.61424553397705,5.220737057093778,0.8095395506169074,10.776093982303461,-0.09359935637233874,996.5933924290138
8,1,8.558937334722616,2.7567370780491105,0.13808897429303008,9.134823121652781,1.126618060505446,1013.8899814885865
9,1,9.420128346087191,2.9905625596802943,0.5401298868963679,4.0082476059634295,0.24008763914072162,1009.1553623659801
10,0,6.791562221492461,5.042715149409313,0.9280838236512293,1.5750858039301447,1.618468214014902,1007.0388703614227
11,0,3.264628767581354,7.986789797470115,0.1697594391851535,9.386669439476815,2.011176931987903,1009.1297972258359
12,0,11.789856748464054,2.017190209267384,1.2010881858621778,4.944031578033298,2.67709536673335,1029.2693601571284
13,1,4.4774993683753035,2.4284147242869825,0.09756628233953916,1.5109192668185947,1.3103050186551237,997.4681828267593
14,0,14.158267752193801,3.812941873696653,1.2843946791065022,5.577590984717192,0.23452761558761426,1011.8153723673058
15,1,16.451587077280447,2.8953853928331386,1.1697061994496614,7.755825225774765,0.3994226832619092,1034.6752298662302
16,0,7.088928791637938,7.375323837973754,0.12515802671960718,0.855373455685422,1.4052461964589027,1002.7522089073508
17,1,10.224637482823335,5.719196428438228,0.6893261736179834,10.047907630422621,0.1575870981890236,1027.1438918509407
18,1,12.715809955865456,4.775004454127327,0.9491322997826501,10.113772379425155,0.8276202133590306,1006.4431936121696
19,1,15.947263728490356,3.540741344259207,4.617906683974196,6.230108127597571,0.026352524051103332,1057.8753637277243
20,0,8.992409848442339,2.8228209686406465,0.6271590326960199,8.316125831571213,0.24642461982969188,1023.1696341123454
